facility,period,variable,variable_clean,flag,indicator,region,district
Agule Community Health Centre III,2021-11-01,65,65,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2021-12-01,79,79,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2022-01-01,82,82,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2022-02-01,63,63,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2022-03-01,43,43,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2022-04-01,43,43,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2022-05-01,104,104,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2022-06-01,69,69,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2022-07-01,45,45,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2022-08-01,52,52,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2022-09-01,59,59,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2022-10-01,64,64,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2022-11-01,11,11,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2022-12-01,23,23,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2023-01-01,11,11,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2023-02-01,38,38,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2023-03-01,100,100,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2023-04-01,118,118,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2023-05-01,233,118,Outlier,x105_ep01b_malaria_total,Bukedi,Pallisa District
Agule Community Health Centre III,2020-01-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2020-02-01,75,23.5,Outlier,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2020-03-01,47,47,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2020-04-01,36,36,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2020-05-01,34,34,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2020-06-01,34,34,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2020-07-01,35,35,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2020-08-01,32,32,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2020-09-01,27,27,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2020-10-01,29,29,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2020-11-01,25,25,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2020-12-01,21,21,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2021-01-01,17,17,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2021-02-01,6,6,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2021-03-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2021-04-01,14,14,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2021-05-01,20,20,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2021-06-01,25,25,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2021-07-01,13,13,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2021-08-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2021-09-01,9,9,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2021-10-01,8,8,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2021-11-01,10,10,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2021-12-01,13,13,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2022-01-01,12,12,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2022-02-01,14,14,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2022-03-01,3,3,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2022-04-01,9,9,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2022-05-01,9,9,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2022-06-01,9,9,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2022-07-01,11,11,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2022-08-01,3,3,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2022-09-01,3,3,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2022-10-01,9,9,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2022-11-01,11,11,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2022-12-01,9,9,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2023-01-01,2,2,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2023-02-01,11,11,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2023-03-01,6,6,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2023-04-01,13,13,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2023-05-01,13,13,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Agule Community Health Centre III,2020-01-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2020-02-01,3,0,Outlier,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2020-03-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2020-04-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2020-05-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2020-06-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2020-07-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2020-08-01,3,0,Outlier,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2020-09-01,4,0,Outlier,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2020-10-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2020-11-01,3,0,Outlier,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2020-12-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2021-01-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2021-02-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2021-03-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2021-04-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2021-05-01,3,0,Outlier,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2021-06-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2021-07-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2021-08-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2021-09-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2021-10-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2021-11-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2021-12-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2022-01-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2022-02-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2022-03-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2022-04-01,1,1,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2022-05-01,1,1,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2022-06-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2022-07-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2022-08-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2022-09-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2022-10-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2022-11-01,2,2,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2022-12-01,2,2,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2023-01-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2023-02-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2023-03-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2023-04-01,4,1,Outlier,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2023-05-01,2,2,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Community Health Centre III,2020-01-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2020-02-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2020-03-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2020-04-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2020-05-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2020-06-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2020-07-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2020-08-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2020-09-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2020-10-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2020-11-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2020-12-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2021-01-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2021-02-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2021-03-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2021-04-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2021-05-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2021-06-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2021-07-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2021-08-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2021-09-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2021-10-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2021-11-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2021-12-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2022-01-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2022-02-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2022-03-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2022-04-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2022-05-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2022-06-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2022-07-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2022-08-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2022-09-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2022-10-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2022-11-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2022-12-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2023-01-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2023-02-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2023-03-01,1,0,Outlier,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2023-04-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2023-05-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Community Health Centre III,2020-01-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-02-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-03-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-04-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-05-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-06-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-07-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-08-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-09-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-10-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-11-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-12-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-01-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-02-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-03-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-04-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-05-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-06-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-07-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-08-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-09-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-10-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-11-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-12-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-01-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-02-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-03-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-04-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-05-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-06-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-07-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-08-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-09-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-10-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-11-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-12-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2023-01-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2023-02-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2023-03-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2023-04-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2023-05-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-01-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-02-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-03-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-04-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-05-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-06-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-07-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-08-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-09-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-10-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-11-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2020-12-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-01-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-02-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-03-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-04-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-05-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-06-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-07-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-08-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-09-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-10-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-11-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2021-12-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-01-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-02-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-03-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-04-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-05-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-06-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-07-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Community Health Centre III,2022-08-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
